"","ciprofloxacin","amoxicillin-clavulanate","metronidazole","ceftriaxone","vancomycin","cefepime","azithromycin","trimethoprim-sulfamethoxazole","penicillin","levofloxcacin","dapsone","amoxicillin","cefdinir","piperacillin-tazobactam","ceftazidime","cefuroxime","cephalexin","pentamidine","doxycycline","meropenem","daptomycin","cefazolin","aztreonam"
"efrB",0.228206229678267,0.609055438726632,0.887135770096765,0.892921085886257,0.0347881061893857,0.13363298533594,0.679431992378664,0.780986580361396,0.945229162233052,0.740054237577049,0.55819203567363,0.960110221055842,NA,0.0106735987205309,0.557165411206972,0.947574896974836,0.944640410798147,0.79981570975931,0.252931327680174,0.8626929889579,0.184395690210351,0.933446151749895,0.239718757981046
"Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline",0.0323710788886661,0.112108280445748,0.99531010452193,0.114242907844254,0.370535695609025,0.50610936494747,0.374973412745287,0.882699508786175,0.308679974634734,0.795900354905404,0.71606418602663,0.960110221055842,NA,0.222742457432996,3.79940160057507e-20,0.324497373185287,0.987381522314925,0.954363887483433,0.960696087395148,0.8626929889579,0.29654750859713,0.719581241077018,0.668307102626176
"mdtB",0.294985447080694,0.503293323680357,0.95211998908404,0.453971034815899,0.909558724490689,0.846290186618927,0.735823202186495,0.995469389006282,0.316917087531754,0.776055477634884,0.682054195791859,0.960110221055842,NA,0.475747542136075,8.7947312478891e-42,0.370425205782693,0.820007941080883,0.724507560639767,0.960696087395148,0.8626929889579,0.583550194879675,0.824113289967103,0.267217509031763
"msrC",0.309716290519265,0.795157637653513,0.930671068508466,0.913226489874582,0.122202735029985,0.0172416457233778,0.620016551682685,0.995469389006282,0.956008036145761,0.511995708285981,0.594028980650215,2.67798208279835e-26,NA,0.749925724510506,0.924363216202239,0.947574896974836,0.987381522314925,0.954363887483433,0.96297094067769,0.908114847718697,0.615874878220204,0.926047960882062,0.353144851209422
"tet(44)",0.286851156530633,0.271170392879684,0.99531010452193,0.701935092530883,0.0290312713899706,0.0721731628448097,0.855126820741712,0.957331497258002,0.820757945646409,0.322574544165343,0.740928682419488,0.965781103755185,NA,0.0612381999896211,0.838860905743357,0.949279592644741,0.69972561343676,0.954363887483433,0.96297094067769,0.908114847718697,0.544574094403543,0.892605678221931,0.323093275620936
"tet(T)",0.0105486891071706,0.213603406050956,0.862706256801277,0.831751053400202,9.26956478298683e-10,1.56892257643193e-06,0.990803323658071,0.0410623791818587,0.0573086053909541,0.0124296451042534,0.56514971929562,0.594655894502641,NA,0.0122602439546477,0.68733061860826,0.537966584530413,0.987381522314925,0.155245621285908,0.96297094067769,0.606828049313994,0.251244648663994,0.450254054352528,0.378284188787521
"gadW",0.323368250681358,0.121255883853009,0.869842221440991,0.789614434901688,0.16979918172751,0.118374709646148,0.923940119986319,0.731057654025555,0.828169715422691,0.771696334259533,0.682011918676769,1.01707478929549e-11,NA,0.641591289149133,0.904974513207313,2.94939263658053e-11,0.987381522314925,0.954363887483433,2.17978869275439e-10,0.8626929889579,0.99034393138792,2.46903181890756e-11,1.92753639069565e-11
"tet(36)",0.286851156530633,0.144800425551196,0.879882283256804,0.749489538561097,2.75325197991842e-10,8.39364437860404e-07,0.83101219935517,0.17330806773832,0.885627229248318,0.0124296451042534,0.607656055387221,0.757378374935897,NA,0.00197392268175381,0.837518217166826,0.947574896974836,0.987381522314925,0.638056047610486,0.960696087395148,0.736736936438856,0.0012861349670211,0.891209414153938,0.631545892781654
"lnuC",0.955231787576976,0.274938190362368,0.862706256801277,0.515551937516417,0.0916485168332051,0.846290186618927,0.697473877074383,0.674989271298537,1.29231758129397e-34,0.40849405393254,0.830759724639303,0.923451237247777,NA,0.0258677428015647,0.848240061381038,0.972448616263848,0.987381522314925,0.979584106902965,0.960696087395148,0.908114847718697,0.814707316179296,0.972451325266064,0.668307102626176
"mdeA",0.706236295756628,0.0620004733370689,0.879882283256804,0.831751053400202,0.832360819186656,0.996054815019771,0.887955730854206,0.831531179765991,0.829610009034383,0.914976191044357,0.722197523935827,0.594655894502641,NA,0.861261726472453,0.661754765006374,0.947574896974836,0.987381522314925,0.954363887483433,0.980085638525783,0.908114847718697,0.868123615163793,0.719581241077018,0.627982742532355
